order_id,date,region,sales_rep,customer_id,customer_segment,product_category,channel,units,list_price_eur,discount_pct,revenue_eur,cost_eur,promised_lead_days,actual_lead_days,on_time,in_full,returned
O000316,2024-01-02,Nordics,Berg,C0239,Trade,chemicals,branch,26,7.4595,0.0,193.95,107.78,1,1,1,1,0
O000352,2024-01-02,DACH-North,Weber,C0151,Enterprise,chemicals,field-sales,136,6.9108,0.025,916.37,517.26,3,3,1,1,0
O000381,2024-01-02,DACH-South,Huber,C0015,Trade,hand tools,field-sales,27,27.0509,0.105,653.68,466.85,3,3,1,1,0
O000411,2024-01-02,DACH-South,Huber,C0241,SMB,abrasives,field-sales,31,1.2073,0.044,35.78,20.57,3,3,1,0,0
O000415,2024-01-02,East,Kovac,C0386,Trade,abrasives,field-sales,5,1.1459,0.0,5.73,3.08,3,6,0,1,0
O000452,2024-01-02,DACH-South,Mayer,C0015,Trade,power tools,field-sales,11,135.4469,0.0,1489.92,1033.88,3,3,1,1,0
O000470,2024-01-02,DACH-North,Klein,C0342,SMB,abrasives,field-sales,66,1.2536,0.012,81.74,48.44,3,3,1,1,0
O000486,2024-01-02,DACH-South,Fischer,C0353,SMB,fasteners,field-sales,59,0.8942,0.016,51.91,29.16,3,3,1,1,0
O000001,2024-01-03,West,Dubois,C0020,SMB,ppe,branch,72,3.7138,0.009,264.99,158.1,1,1,1,1,0
O000024,2024-01-03,DACH-South,Fischer,C0341,SMB,chemicals,phone,29,6.2872,0.154,154.25,100.26,3,3,1,1,0
O000078,2024-01-03,East,Kovac,C0002,SMB,abrasives,field-sales,25,1.0406,0.084,23.83,14.53,3,3,1,1,0
O000084,2024-01-03,DACH-North,Klein,C0351,Trade,ppe,e-shop,23,3.6833,0.021,82.94,53.61,2,2,1,1,0
O000145,2024-01-03,West,Dubois,C0191,Trade,ppe,branch,21,3.6353,0.08,70.23,48.65,1,1,1,1,0
O000171,2024-01-03,DACH-South,Fischer,C0115,SMB,ppe,branch,15,3.5938,0.03,52.29,34.07,1,1,1,1,0
O000173,2024-01-03,DACH-South,Fischer,C0241,SMB,ppe,field-sales,62,3.2021,0.003,197.93,120.83,3,3,1,1,0
O000199,2024-01-03,West,Dubois,C0346,Trade,fasteners,branch,23,0.9645,0.079,20.43,12.53,1,1,1,0,0
O000207,2024-01-03,Nordics,Berg,C0105,SMB,abrasives,field-sales,73,1.0772,0.115,69.59,44.67,3,3,1,1,0
O000237,2024-01-03,DACH-North,Klein,C0121,SMB,chemicals,branch,32,7.3758,0.08,217.14,129.97,1,4,0,1,0
O000296,2024-01-03,DACH-South,Mayer,C0202,SMB,fasteners,phone,66,0.8551,0.076,52.15,32.17,3,3,1,1,0
O000343,2024-01-03,DACH-South,Huber,C0029,Trade,hand tools,field-sales,40,22.2966,0.018,875.81,609.43,3,3,1,1,1
O000360,2024-01-03,DACH-North,Klein,C0151,Enterprise,abrasives,e-shop,256,1.1631,0.166,248.33,168.96,2,2,1,1,0
O000367,2024-01-03,DACH-North,Braun,C0121,SMB,hand tools,field-sales,73,21.9445,0.06,1505.83,1063.01,3,3,1,1,0
O000410,2024-01-03,Nordics,Lindqvist,C0027,SMB,abrasives,e-shop,79,1.1389,0.077,83.05,50.87,2,2,1,1,0
O000416,2024-01-03,DACH-South,Mayer,C0326,Trade,power tools,field-sales,30,135.8041,0.038,3919.31,2812.87,3,3,1,1,0
O000438,2024-01-03,DACH-South,Huber,C0353,SMB,power tools,e-shop,72,143.1863,0.028,10020.75,7106.25,2,2,1,1,0
O000471,2024-01-03,Nordics,Lindqvist,C0175,SMB,chemicals,field-sales,33,6.8852,0.142,194.95,128.42,3,6,0,1,0
O000053,2024-01-04,DACH-North,Braun,C0121,SMB,fasteners,e-shop,73,0.817,0.058,56.18,33.53,2,6,0,1,0
O000081,2024-01-04,DACH-South,Mayer,C0006,SMB,abrasives,e-shop,72,1.1379,0.044,78.32,43.77,2,2,1,1,0
O000107,2024-01-04,DACH-South,Mayer,C0029,Trade,hand tools,branch,18,26.3546,0.114,420.3,309.99,1,1,1,1,0
O000164,2024-01-04,Nordics,Lindqvist,C0134,Enterprise,fasteners,phone,148,0.9004,0.126,116.47,76.87,3,4,0,1,0
O000182,2024-01-04,DACH-South,Mayer,C0394,Trade,fasteners,field-sales,26,0.9354,0.0,24.32,13.86,3,3,1,1,0
O000187,2024-01-04,East,Nowak,C0046,SMB,chemicals,branch,74,6.8324,0.075,467.68,267.64,1,1,1,1,0
O000256,2024-01-04,West,Dubois,C0346,Trade,power tools,e-shop,20,136.6724,0.046,2607.71,1927.54,2,4,0,1,0
O000264,2024-01-04,East,Nowak,C0386,Trade,hand tools,field-sales,15,26.1143,0.02,383.88,248.58,3,7,0,1,0
O000289,2024-01-04,West,Dubois,C0346,Trade,fasteners,branch,13,0.8861,0.0,11.52,6.65,1,1,1,1,0
O000334,2024-01-04,East,Nowak,C0259,Trade,hand tools,field-sales,38,27.5257,0.053,990.54,691.89,3,6,0,1,0
O000340,2024-01-04,DACH-South,Mayer,C0353,SMB,fasteners,e-shop,69,0.9584,0.151,56.14,38.11,2,2,1,1,0
O000363,2024-01-04,DACH-South,Huber,C0326,Trade,abrasives,e-shop,9,1.0163,0.002,9.13,5.16,2,2,1,1,0
O000378,2024-01-04,DACH-South,Mayer,C0115,SMB,fasteners,phone,66,0.969,0.04,61.4,37.84,3,3,1,1,0
O000398,2024-01-04,East,Nowak,C0056,SMB,abrasives,field-sales,39,1.0225,0.124,34.93,23.27,3,3,1,1,0
O000420,2024-01-04,DACH-South,Huber,C0341,SMB,fasteners,field-sales,83,0.9075,0.057,71.03,41.78,3,3,1,1,0
O000421,2024-01-04,DACH-North,Klein,C0277,SMB,chemicals,e-shop,72,6.1969,0.061,418.96,252.69,2,2,1,1,0
O000457,2024-01-04,West,Dubois,C0211,SMB,fasteners,e-shop,63,0.9137,0.076,53.19,33.31,2,2,1,1,0
O000464,2024-01-04,East,Nowak,C0056,SMB,hand tools,e-shop,22,27.5388,0.094,548.9,399.32,2,2,1,0,0
O000002,2024-01-05,DACH-South,Mayer,C0250,Trade,abrasives,e-shop,8,1.0268,0.0,8.21,4.41,2,2,1,0,0
O000050,2024-01-05,West,Martin,C0147,Trade,chemicals,branch,17,6.9827,0.066,110.87,62.09,1,1,1,1,0
O000075,2024-01-05,DACH-South,Mayer,C0088,Trade,abrasives,e-shop,33,1.24,0.021,40.06,23.27,2,2,1,1,0
O000100,2024-01-05,West,Dubois,C0191,Trade,chemicals,branch,22,5.8567,0.0,128.85,70.88,1,1,1,1,0
O000169,2024-01-05,DACH-North,Weber,C0277,SMB,power tools,field-sales,53,154.9187,0.065,7677.0,5795.78,3,3,1,1,1
O000176,2024-01-05,DACH-South,Huber,C0029,Trade,power tools,e-shop,13,157.1404,0.12,1797.69,1509.6,2,2,1,1,1
O000229,2024-01-05,DACH-North,Braun,C0121,SMB,abrasives,phone,40,1.0031,0.064,37.56,21.45,3,3,1,1,0
O000284,2024-01-05,DACH-South,Mayer,C0284,Trade,power tools,e-shop,24,146.5254,0.055,3323.2,2419.87,2,2,1,1,0
O000322,2024-01-05,Nordics,Berg,C0239,Trade,fasteners,field-sales,8,0.856,0.023,6.69,3.94,3,3,1,1,0
O000350,2024-01-05,DACH-South,Huber,C0117,Trade,hand tools,field-sales,24,25.9557,0.043,596.15,418.47,3,3,1,1,0
O000395,2024-01-05,West,Dubois,C0020,SMB,fasteners,branch,67,0.9941,0.01,65.94,37.03,1,1,1,1,0
O000407,2024-01-05,DACH-South,Huber,C0117,Trade,fasteners,branch,25,0.8124,0.0,20.31,11.99,1,1,1,1,0
O000414,2024-01-05,East,Nowak,C0259,Trade,chemicals,phone,38,6.7003,0.047,242.64,136.77,3,3,1,1,0
O000456,2024-01-05,Nordics,Berg,C0027,SMB,power tools,phone,28,133.1057,0.09,3391.53,2567.66,3,3,1,1,0
O000007,2024-01-06,DACH-South,Huber,C0088,Trade,ppe,e-shop,30,3.7495,0.074,104.16,69.61,2,2,1,1,0
O000033,2024-01-06,DACH-South,Mayer,C0241,SMB,ppe,e-shop,20,3.8162,0.076,70.52,46.31,2,2,1,1,0
O000067,2024-01-06,DACH-South,Mayer,C0284,Trade,abrasives,e-shop,19,1.0023,0.06,17.9,10.34,2,2,1,1,0
O000102,2024-01-06,DACH-South,Mayer,C0115,SMB,abrasives,field-sales,49,1.1392,0.061,52.42,30.54,3,3,1,1,0
O000121,2024-01-06,DACH-South,Fischer,C0029,Trade,ppe,branch,20,3.7251,0.073,69.06,44.72,1,1,1,0,0
O000140,2024-01-06,East,Kovac,C0148,Enterprise,ppe,field-sales,324,3.5974,0.206,925.45,697.91,3,3,1,1,1
O000142,2024-01-06,DACH-South,Fischer,C0006,SMB,abrasives,e-shop,30,1.0857,0.007,32.34,17.76,2,2,1,1,0
O000172,2024-01-06,West,Dubois,C0346,Trade,chemicals,field-sales,21,5.9359,0.006,123.91,68.23,3,3,1,1,0
O000210,2024-01-06,West,Dubois,C0020,SMB,abrasives,e-shop,79,1.2229,0.0,96.61,55.68,2,2,1,1,0
O000304,2024-01-06,DACH-South,Huber,C0154,Trade,chemicals,field-sales,24,7.3183,0.0,175.64,98.36,3,3,1,1,0
O000325,2024-01-06,DACH-South,Mayer,C0202,SMB,power tools,e-shop,53,142.8296,0.133,6563.16,5567.49,2,2,1,1,1
O000332,2024-01-06,DACH-North,Weber,C0269,Trade,ppe,e-shop,27,3.8662,0.08,96.04,66.75,2,2,1,1,0
O000348,2024-01-06,DACH-South,Huber,C0353,SMB,power tools,e-shop,28,152.52,0.0,4270.56,3083.36,2,2,1,1,0
O000387,2024-01-06,DACH-South,Huber,C0115,SMB,fasteners,field-sales,43,0.9879,0.0,42.48,25.15,3,3,1,1,0
O000393,2024-01-06,East,Kovac,C0386,Trade,fasteners,field-sales,29,0.9468,0.095,24.85,15.24,3,3,1,1,0
O000434,2024-01-06,West,Martin,C0393,Enterprise,chemicals,phone,182,7.1519,0.149,1107.7,712.13,3,3,1,1,0
O000459,2024-01-06,DACH-South,Fischer,C0066,SMB,ppe,field-sales,48,3.1024,0.067,138.94,88.74,3,3,1,1,0
O000462,2024-01-06,East,Nowak,C0259,Trade,chemicals,e-shop,39,6.5454,0.033,246.85,144.39,2,2,1,1,0
O000467,2024-01-06,DACH-North,Klein,C0351,Trade,power tools,phone,18,159.0843,0.108,2554.26,1997.94,3,3,1,1,0
O000469,2024-01-06,West,Martin,C0211,SMB,fasteners,e-shop,52,0.8589,0.123,39.17,24.93,2,2,1,0,0
O000473,2024-01-06,DACH-North,Klein,C0181,SMB,abrasives,branch,84,1.1809,0.105,88.78,56.58,1,1,1,1,0
O000011,2024-01-07,Nordics,Lindqvist,C0027,SMB,ppe,branch,82,3.5698,0.167,243.84,182.06,1,1,1,1,0
O000069,2024-01-07,DACH-South,Fischer,C0202,SMB,fasteners,e-shop,21,0.8418,0.079,16.28,9.76,2,2,1,1,0
O000179,2024-01-07,DACH-South,Fischer,C0353,SMB,fasteners,phone,53,1.0003,0.088,48.35,32.13,3,3,1,1,0
O000181,2024-01-07,Nordics,Lindqvist,C0027,SMB,ppe,e-shop,3,3.2137,0.117,8.51,5.91,2,2,1,1,0
O000185,2024-01-07,West,Martin,C0147,Trade,abrasives,field-sales,18,1.1068,0.071,18.51,11.45,3,3,1,1,0
O000285,2024-01-07,DACH-South,Huber,C0154,Trade,fasteners,e-shop,30,0.917,0.063,25.78,15.9,2,2,1,1,0
O000312,2024-01-07,West,Dubois,C0147,Trade,chemicals,branch,22,6.8815,0.056,142.91,83.08,1,1,1,1,0
O000373,2024-01-07,DACH-South,Huber,C0154,Trade,abrasives,e-shop,6,0.9919,0.109,5.3,3.25,2,2,1,1,0
O000427,2024-01-07,DACH-South,Fischer,C0088,Trade,fasteners,e-shop,25,1.0117,0.042,24.23,15.21,2,2,1,1,0
O000004,2024-01-08,DACH-North,Weber,C0277,SMB,fasteners,field-sales,45,0.9881,0.017,43.71,26.87,3,3,1,0,0
O000030,2024-01-08,DACH-South,Fischer,C0115,SMB,power tools,e-shop,96,131.2342,0.17,10456.74,8777.56,2,2,1,1,0
O000066,2024-01-08,West,Dubois,C0191,Trade,chemicals,field-sales,19,6.0329,0.0,114.63,61.06,3,3,1,1,0
O000160,2024-01-08,DACH-South,Mayer,C0326,Trade,power tools,e-shop,28,135.9534,0.027,3703.91,2773.33,2,2,1,1,0
O000177,2024-01-08,DACH-South,Huber,C0341,SMB,fasteners,branch,61,0.8393,0.096,46.28,30.26,1,1,1,1,0
O000180,2024-01-08,DACH-North,Braun,C0269,Trade,fasteners,e-shop,23,0.8588,0.046,18.84,11.21,2,2,1,1,0
O000215,2024-01-08,West,Martin,C0393,Enterprise,power tools,phone,180,126.3612,0.089,20720.71,16086.95,3,3,1,1,0
O000235,2024-01-08,Nordics,Berg,C0175,SMB,hand tools,field-sales,43,22.216,0.098,861.67,626.19,3,3,1,1,0
O000252,2024-01-08,Nordics,Berg,C0175,SMB,power tools,e-shop,68,149.5352,0.0,10168.39,7335.64,2,2,1,1,0
O000314,2024-01-08,DACH-South,Huber,C0250,Trade,hand tools,branch,27,24.0941,0.076,601.1,421.94,1,1,1,1,0
O000329,2024-01-08,East,Nowak,C0056,SMB,hand tools,field-sales,27,23.986,0.0,647.62,444.57,3,3,1,1,0
O000380,2024-01-08,East,Nowak,C0267,SMB,chemicals,e-shop,25,6.3445,0.066,148.14,83.77,2,2,1,1,0
O000403,2024-01-08,DACH-South,Fischer,C0341,SMB,power tools,field-sales,73,138.6839,0.163,8473.72,7022.14,3,3,1,1,0
O000446,2024-01-08,DACH-North,Braun,C0121,SMB,power tools,field-sales,63,145.6336,0.104,8220.73,6900.74,3,3,1,1,0
O000022,2024-01-09,DACH-South,Fischer,C0326,Trade,power tools,e-shop,17,137.8881,0.054,2217.52,1718.4,2,2,1,1,0
O000042,2024-01-09,DACH-South,Mayer,C0202,SMB,fasteners,field-sales,67,0.9125,0.088,55.76,36.17,3,3,1,1,0
O000054,2024-01-09,East,Nowak,C0267,SMB,ppe,e-shop,109,3.2374,0.12,310.53,227.31,2,3,0,1,0
O000065,2024-01-09,DACH-South,Huber,C0202,SMB,chemicals,e-shop,46,6.6315,0.0,305.05,163.0,2,2,1,1,0
O000079,2024-01-09,West,Martin,C0393,Enterprise,ppe,field-sales,237,3.2105,0.172,630.02,468.89,3,3,1,1,0
O000094,2024-01-09,East,Nowak,C0259,Trade,chemicals,e-shop,24,6.9645,0.055,157.95,92.29,2,2,1,0,0
O000131,2024-01-09,West,Martin,C0211,SMB,chemicals,field-sales,59,5.9115,0.068,325.06,181.78,3,3,1,1,1
O000147,2024-01-09,West,Dubois,C0147,Trade,fasteners,e-shop,17,0.835,0.033,13.73,8.17,2,2,1,1,0
O000170,2024-01-09,East,Kovac,C0002,SMB,abrasives,phone,25,1.2355,0.083,28.32,17.28,3,3,1,1,0
O000219,2024-01-09,DACH-South,Fischer,C0154,Trade,abrasives,branch,14,1.0354,0.044,13.86,8.11,1,1,1,1,0
O000311,2024-01-09,DACH-North,Weber,C0181,SMB,fasteners,field-sales,76,0.9303,0.095,63.99,39.28,3,3,1,1,0
O000320,2024-01-09,Nordics,Lindqvist,C0134,Enterprise,hand tools,e-shop,1,25.4883,0.122,22.38,16.02,2,2,1,1,0
O000330,2024-01-09,DACH-North,Braun,C0342,SMB,abrasives,e-shop,47,1.0747,0.029,49.05,29.35,2,2,1,1,0
O000333,2024-01-09,DACH-North,Klein,C0277,SMB,abrasives,e-shop,86,1.0119,0.115,77.02,46.9,2,3,0,1,0
O000354,2024-01-09,West,Dubois,C0211,SMB,fasteners,branch,25,0.9076,0.077,20.94,12.63,1,3,0,1,0
O000417,2024-01-09,DACH-North,Klein,C0181,SMB,fasteners,e-shop,82,0.8189,0.116,59.36,38.56,2,2,1,1,0
O000437,2024-01-09,East,Nowak,C0148,Enterprise,abrasives,field-sales,132,1.1493,0.089,138.21,84.61,3,3,1,1,0
O000482,2024-01-09,DACH-North,Weber,C0269,Trade,power tools,phone,32,138.2092,0.003,4409.43,3149.51,3,5,0,1,0
O000061,2024-01-10,Nordics,Berg,C0105,SMB,ppe,e-shop,61,3.336,0.09,185.18,126.02,2,2,1,1,0
O000070,2024-01-10,East,Nowak,C0056,SMB,ppe,branch,93,3.0671,0.094,258.43,172.8,1,1,1,1,0
O000103,2024-01-10,East,Kovac,C0056,SMB,fasteners,e-shop,111,0.8214,0.09,82.97,50.69,2,2,1,1,0
O000158,2024-01-10,Nordics,Lindqvist,C0239,Trade,chemicals,phone,31,6.5713,0.084,186.6,107.71,3,5,0,1,0
O000206,2024-01-10,DACH-South,Fischer,C0202,SMB,power tools,phone,64,156.3434,0.046,9545.7,7123.96,3,3,1,1,0
O000236,2024-01-10,DACH-North,Weber,C0269,Trade,chemicals,e-shop,13,6.9528,0.013,89.21,48.75,2,2,1,1,0
O000257,2024-01-10,DACH-South,Mayer,C0015,Trade,hand tools,field-sales,19,23.6919,0.052,426.74,294.65,3,3,1,1,0
O000260,2024-01-10,DACH-South,Fischer,C0284,Trade,ppe,e-shop,46,3.5206,0.114,143.49,105.0,2,2,1,1,0
O000263,2024-01-10,West,Martin,C0020,SMB,fasteners,e-shop,74,0.9705,0.062,67.36,39.98,2,2,1,1,0
O000268,2024-01-10,DACH-North,Weber,C0342,SMB,chemicals,field-sales,69,6.9849,0.079,443.88,266.12,3,3,1,1,0
O000278,2024-01-10,East,Nowak,C0056,SMB,fasteners,e-shop,16,0.9433,0.081,13.87,8.61,2,2,1,1,0
O000286,2024-01-10,Nordics,Lindqvist,C0134,Enterprise,fasteners,e-shop,357,0.9216,0.063,308.28,193.47,2,2,1,1,0
O000346,2024-01-10,DACH-North,Braun,C0215,Trade,fasteners,phone,40,0.9176,0.048,34.94,21.28,3,3,1,1,0
O000396,2024-01-10,DACH-South,Mayer,C0341,SMB,fasteners,e-shop,41,0.9323,0.059,35.97,21.16,2,2,1,1,0
O000475,2024-01-10,DACH-South,Huber,C0353,SMB,chemicals,branch,57,7.1622,0.073,378.44,219.58,1,2,0,1,0
O000028,2024-01-11,West,Dubois,C0191,Trade,fasteners,field-sales,17,0.9479,0.028,15.66,9.39,3,3,1,1,0
O000032,2024-01-11,Nordics,Lindqvist,C0175,SMB,ppe,e-shop,76,3.0769,0.054,221.22,150.31,2,2,1,1,0
O000034,2024-01-11,Nordics,Lindqvist,C0338,Trade,ppe,e-shop,27,3.1977,0.034,83.4,52.55,2,2,1,1,0
O000095,2024-01-11,Nordics,Lindqvist,C0134,Enterprise,hand tools,phone,158,25.3632,0.095,3626.68,2654.65,3,3,1,1,0
O000110,2024-01-11,DACH-South,Mayer,C0341,SMB,fasteners,e-shop,62,0.9407,0.097,52.67,34.88,2,2,1,1,0
O000129,2024-01-11,DACH-South,Mayer,C0284,Trade,fasteners,field-sales,26,0.8848,0.002,22.96,13.95,3,3,1,1,0
O000136,2024-01-11,Nordics,Berg,C0134,Enterprise,fasteners,e-shop,159,1.0215,0.09,147.8,94.55,2,2,1,1,0
O000225,2024-01-11,DACH-South,Huber,C0241,SMB,chemicals,branch,51,6.2646,0.057,301.28,177.2,1,1,1,0,0
O000228,2024-01-11,DACH-South,Mayer,C0006,SMB,ppe,e-shop,47,3.5082,0.0,164.89,97.98,2,2,1,1,0
O000231,2024-01-11,East,Kovac,C0267,SMB,chemicals,branch,67,7.3419,0.027,478.63,257.96,1,4,0,1,0
O000244,2024-01-11,DACH-South,Huber,C0241,SMB,fasteners,field-sales,100,0.8115,0.054,76.77,46.94,3,3,1,1,0
O000317,2024-01-11,West,Martin,C0020,SMB,abrasives,e-shop,52,1.1647,0.028,58.87,33.3,2,2,1,1,0
O000362,2024-01-11,DACH-South,Fischer,C0154,Trade,abrasives,field-sales,25,1.2095,0.022,29.57,16.25,3,3,1,1,0
O000364,2024-01-11,DACH-South,Mayer,C0015,Trade,hand tools,field-sales,17,24.91,0.0,423.47,276.77,3,3,1,1,0
O000376,2024-01-11,DACH-North,Klein,C0269,Trade,abrasives,e-shop,30,1.0202,0.009,30.33,16.32,2,2,1,1,0
O000390,2024-01-11,West,Dubois,C0230,SMB,fasteners,e-shop,36,0.8729,0.134,27.21,17.34,2,2,1,1,0
O000433,2024-01-11,DACH-North,Klein,C0277,SMB,ppe,field-sales,32,3.3927,0.097,98.04,66.59,3,7,0,1,0
O000439,2024-01-11,East,Kovac,C0148,Enterprise,fasteners,branch,275,0.9376,0.142,221.23,142.54,1,1,1,1,0
O000441,2024-01-11,DACH-South,Huber,C0088,Trade,hand tools,field-sales,32,24.4894,0.035,756.23,509.38,3,3,1,1,0
O000044,2024-01-12,West,Martin,C0191,Trade,fasteners,e-shop,39,0.8429,0.09,29.91,18.86,2,2,1,1,0
O000052,2024-01-12,Nordics,Berg,C0239,Trade,fasteners,e-shop,43,0.8527,0.031,35.53,21.83,2,2,1,1,0
O000058,2024-01-12,Nordics,Lindqvist,C0134,Enterprise,chemicals,branch,201,6.7651,0.072,1261.88,753.79,1,1,1,1,0
O000119,2024-01-12,Nordics,Lindqvist,C0134,Enterprise,fasteners,field-sales,349,0.9736,0.101,305.47,188.43,3,3,1,1,0
O000133,2024-01-12,DACH-South,Mayer,C0202,SMB,chemicals,e-shop,19,5.9973,0.0,113.95,64.37,2,6,0,1,0
O000151,2024-01-12,DACH-South,Mayer,C0088,Trade,abrasives,field-sales,39,1.0345,0.057,38.05,22.75,3,3,1,1,0
O000154,2024-01-12,DACH-South,Mayer,C0029,Trade,power tools,e-shop,30,128.3452,0.107,3438.37,2690.4,2,2,1,1,0
O000162,2024-01-12,DACH-South,Huber,C0250,Trade,chemicals,e-shop,29,7.3457,0.086,194.71,115.03,2,2,1,1,0
O000174,2024-01-12,East,Nowak,C0267,SMB,power tools,e-shop,68,135.8496,0.091,8397.14,6592.66,2,2,1,1,0
O000191,2024-01-12,West,Martin,C0230,SMB,fasteners,e-shop,103,0.8885,0.097,82.64,50.57,2,2,1,1,0
O000192,2024-01-12,Nordics,Lindqvist,C0134,Enterprise,ppe,e-shop,221,3.5637,0.212,620.61,467.08,2,2,1,1,1
O000227,2024-01-12,West,Dubois,C0020,SMB,abrasives,e-shop,29,1.1063,0.079,29.55,18.53,2,2,1,1,0
O000253,2024-01-12,DACH-South,Mayer,C0341,SMB,ppe,field-sales,64,3.1129,0.052,188.87,123.23,3,3,1,1,0
O000331,2024-01-12,DACH-South,Huber,C0284,Trade,fasteners,field-sales,24,0.8114,0.0,19.47,11.29,3,7,0,1,0
O000366,2024-01-12,Nordics,Lindqvist,C0175,SMB,fasteners,e-shop,8,1.0083,0.122,7.08,4.59,2,2,1,1,0
O000428,2024-01-12,DACH-South,Fischer,C0154,Trade,abrasives,e-shop,13,1.1162,0.148,12.36,8.17,2,2,1,1,0
O000458,2024-01-12,DACH-South,Mayer,C0202,SMB,chemicals,field-sales,40,6.5672,0.089,239.31,135.46,3,3,1,1,0
O000463,2024-01-12,East,Kovac,C0002,SMB,chemicals,e-shop,60,7.1808,0.094,390.35,244.07,2,2,1,1,0
O000016,2024-01-13,DACH-South,Fischer,C0284,Trade,abrasives,field-sales,30,1.2054,0.075,33.45,19.44,3,3,1,1,0
O000018,2024-01-13,DACH-North,Braun,C0269,Trade,power tools,e-shop,28,153.0763,0.046,4088.97,3084.28,2,5,0,1,0
O000021,2024-01-13,DACH-North,Braun,C0181,SMB,fasteners,field-sales,29,0.9232,0.067,24.98,14.93,3,3,1,1,0
O000023,2024-01-13,Nordics,Berg,C0105,SMB,fasteners,e-shop,35,0.9262,0.184,26.45,19.43,2,2,1,1,0
O000036,2024-01-13,DACH-South,Huber,C0088,Trade,abrasives,field-sales,21,1.202,0.053,23.9,14.84,3,3,1,1,0
O000037,2024-01-13,West,Martin,C0382,SMB,hand tools,field-sales,48,24.7605,0.079,1094.61,747.95,3,3,1,1,0
